Country,Year,Urban population (% of total population)
Colombia,1998,73.098
Colombia,1999,73.53
Colombia,2000,73.957
Colombia,2001,74.379
Colombia,2002,74.797
Colombia,2003,75.211
Colombia,2004,75.62
Colombia,2005,76.024
Colombia,2006,76.423
Colombia,2007,76.816
Colombia,2008,77.204
Colombia,2009,77.587
Colombia,2010,77.964
Colombia,2011,78.335
Colombia,2012,78.701
Colombia,2013,79.061
Colombia,2014,79.415
Colombia,2015,79.764
Colombia,2016,80.108
Colombia,2017,80.446
Colombia,2018,80.778
Colombia,2019,81.104
Colombia,2020,81.425
Colombia,2021,81.74
Colombia,2022,82.05
Colombia,2023,82.354
Costa Rica,1990,50.003
Costa Rica,1991,50.917
Costa Rica,1992,51.832
Costa Rica,1993,52.743
Costa Rica,1994,53.653
Costa Rica,1995,54.561
Costa Rica,1996,55.467
Costa Rica,1997,56.367
Costa Rica,1998,57.264
Costa Rica,1999,58.157
Costa Rica,2000,59.052
Costa Rica,2001,60.41
Costa Rica,2002,61.753
Costa Rica,2003,63.08
Costa Rica,2004,64.388
Costa Rica,2005,65.672
Costa Rica,2006,66.935
Costa Rica,2007,68.174
Costa Rica,2008,69.39
Costa Rica,2009,70.575
Costa Rica,2010,71.736
Costa Rica,2011,72.868
Costa Rica,2012,73.946
Costa Rica,2013,74.97
Costa Rica,2014,75.941
Costa Rica,2015,76.862
Costa Rica,2016,77.735
Costa Rica,2017,78.56
Costa Rica,2018,79.34
Costa Rica,2019,80.076
Costa Rica,2020,80.771
Costa Rica,2021,81.425
Costa Rica,2022,82.042
Costa Rica,2023,82.622
Czechia,1990,75.22
Czechia,1991,75.158
Czechia,1992,75.03
Czechia,1993,74.901
Czechia,1994,74.772
Czechia,1995,74.643
Czechia,1996,74.513
Czechia,1997,74.382
Czechia,1998,74.251
Czechia,1999,74.12
Czechia,2000,73.988
Czechia,2001,73.877
Czechia,2002,73.809
Czechia,2003,73.74
Czechia,2004,73.671
Czechia,2005,73.602
Czechia,2006,73.533
Czechia,2007,73.463
Czechia,2008,73.394
Czechia,2009,73.324
Czechia,2010,73.255
Czechia,2011,73.185
Czechia,2012,73.197
Czechia,2013,73.29
Czechia,2014,73.384
Czechia,2015,73.477
Czechia,2016,73.57
Czechia,2017,73.675
Czechia,2018,73.792
Czechia,2019,73.921
Czechia,2020,74.061
Czechia,2021,74.214
Czechia,2022,74.377
Czechia,2023,74.552
Denmark,1990,84.843
Denmark,1991,84.871
Denmark,1992,84.898
Denmark,1993,84.925
Denmark,1994,84.952
Denmark,1995,84.979
Denmark,1996,85.006
Denmark,1997,85.033
Denmark,1998,85.06
Denmark,1999,85.086
Denmark,2000,85.1
Denmark,2001,85.15
Denmark,2002,85.25
Denmark,2003,85.36
Denmark,2004,85.566
Denmark,2005,85.856
Denmark,2006,86.098
Denmark,2007,86.293
Denmark,2008,86.487
Denmark,2009,86.654
Denmark,2010,86.795
Denmark,2011,86.957
Denmark,2012,87.142
Denmark,2013,87.292
Denmark,2014,87.41
Denmark,2015,87.526
Denmark,2016,87.642
Denmark,2017,87.757
Denmark,2018,87.874
Denmark,2019,87.994
Denmark,2020,88.116
Denmark,2021,88.24
Denmark,2022,88.367
Denmark,2023,88.495
Estonia,1990,71.231
Estonia,1991,71.046
Estonia,1992,70.86
Estonia,1993,70.674
Estonia,1994,70.487
Estonia,1995,70.3
Estonia,1996,70.111
Estonia,1997,69.923
Estonia,1998,69.733
Estonia,1999,69.543
Estonia,2000,69.368
Estonia,2001,69.242
Estonia,2002,69.116
Estonia,2003,68.989
Estonia,2004,68.862
Estonia,2005,68.735
Estonia,2006,68.607
Estonia,2007,68.479
Estonia,2008,68.351
Estonia,2009,68.223
Estonia,2010,68.094
Estonia,2011,67.965
Estonia,2012,67.974
Estonia,2013,68.122
Estonia,2014,68.269
Estonia,2015,68.416
Estonia,2016,68.563
Estonia,2017,68.717
Estonia,2018,68.88
Estonia,2019,69.051
Estonia,2020,69.229
Estonia,2021,69.415
Estonia,2022,69.609
Estonia,2023,69.81
Finland,1990,79.367
Finland,1991,79.843
Finland,1992,80.128
Finland,1993,80.409
Finland,1994,80.688
Finland,1995,80.963
Finland,1996,81.223
Finland,1997,81.466
Finland,1998,81.707
Finland,1999,81.946
Finland,2000,82.183
Finland,2001,82.368
Finland,2002,82.503
Finland,2003,82.638
Finland,2004,82.772
Finland,2005,82.905
Finland,2006,83.037
Finland,2007,83.168
Finland,2008,83.299
Finland,2009,83.429
Finland,2010,83.77
Finland,2011,84.313
Finland,2012,84.841
Finland,2013,85.125
Finland,2014,85.175
Finland,2015,85.225
Finland,2016,85.275
Finland,2017,85.325
Finland,2018,85.382
Finland,2019,85.446
Finland,2020,85.517
Finland,2021,85.596
Finland,2022,85.681
Finland,2023,85.773
France,1990,74.056
France,1991,74.229
France,1992,74.401
France,1993,74.572
France,1994,74.743
France,1995,74.912
France,1996,75.082
France,1997,75.25
France,1998,75.417
France,1999,75.614
France,2000,75.871
France,2001,76.127
France,2002,76.38
France,2003,76.632
France,2004,76.883
France,2005,77.13
France,2006,77.377
France,2007,77.621
France,2008,77.868
France,2009,78.117
France,2010,78.369
France,2011,78.622
France,2012,78.878
France,2013,79.135
France,2014,79.394
France,2015,79.655
France,2016,79.917
France,2017,80.18
France,2018,80.444
France,2019,80.709
France,2020,80.975
France,2021,81.242
France,2022,81.509
France,2023,81.777
Germany,1990,73.118
Germany,1991,73.269
Germany,1992,73.36
Germany,1993,73.497
Germany,1994,73.71
Germany,1995,73.922
Germany,1996,74.133
Germany,1997,74.342
Germany,1998,74.551
Germany,1999,74.758
Germany,2000,74.965
Germany,2001,75.17
Germany,2002,75.374
Germany,2003,75.577
Germany,2004,75.779
Germany,2005,75.98
Germany,2006,76.179
Germany,2007,76.378
Germany,2008,76.575
Germany,2009,76.771
Germany,2010,76.966
Germany,2011,77.16
Germany,2012,77.17
Germany,2013,77.18
Germany,2014,77.19
Germany,2015,77.2
Germany,2016,77.224
Germany,2017,77.261
Germany,2018,77.312
Germany,2019,77.376
Germany,2020,77.453
Germany,2021,77.544
Germany,2022,77.648
Germany,2023,77.765
Greece,1990,71.467
Greece,1991,71.635
Greece,1992,71.757
Greece,1993,71.878
Greece,1994,71.998
Greece,1995,72.119
Greece,1996,72.239
Greece,1997,72.358
Greece,1998,72.478
Greece,1999,72.597
Greece,2000,72.716
Greece,2001,72.913
Greece,2002,73.303
Greece,2003,73.689
Greece,2004,74.073
Greece,2005,74.452
Greece,2006,74.827
Greece,2007,75.199
Greece,2008,75.568
Greece,2009,75.932
Greece,2010,76.292
Greece,2011,76.649
Greece,2012,77.004
Greece,2013,77.355
Greece,2014,77.702
Greece,2015,78.046
Greece,2016,78.387
Greece,2017,78.724
Greece,2018,79.058
Greece,2019,79.388
Greece,2020,79.715
Greece,2021,80.038
Greece,2022,80.357
Greece,2023,80.673
Hungary,1990,65.838
Hungary,1991,65.713
Hungary,1992,65.587
Hungary,1993,65.461
Hungary,1994,65.335
Hungary,1995,65.209
Hungary,1996,65.083
Hungary,1997,64.956
Hungary,1998,64.829
Hungary,1999,64.702
Hungary,2000,64.575
Hungary,2001,64.67
Hungary,2002,65.081
Hungary,2003,65.489
Hungary,2004,65.896
Hungary,2005,66.365
Hungary,2006,66.895
Hungary,2007,67.421
Hungary,2008,67.943
Hungary,2009,68.46
Hungary,2010,68.911
Hungary,2011,69.358
Hungary,2012,69.678
Hungary,2013,69.953
Hungary,2014,70.227
Hungary,2015,70.5
Hungary,2016,70.779
Hungary,2017,71.062
Hungary,2018,71.351
Hungary,2019,71.644
Hungary,2020,71.942
Hungary,2021,72.245
Hungary,2022,72.552
Hungary,2023,72.864
Iceland,1990,90.75
Iceland,1991,90.932
Iceland,1992,91.112
Iceland,1993,91.287
Iceland,1994,91.46
Iceland,1995,91.63
Iceland,1996,91.797
Iceland,1997,91.96
Iceland,1998,92.121
Iceland,1999,92.267
Iceland,2000,92.401
Iceland,2001,92.532
Iceland,2002,92.662
Iceland,2003,92.789
Iceland,2004,92.914
Iceland,2005,93.037
Iceland,2006,93.159
Iceland,2007,93.278
Iceland,2008,93.395
Iceland,2009,93.511
Iceland,2010,93.574
Iceland,2011,93.587
Iceland,2012,93.6
Iceland,2013,93.633
Iceland,2014,93.667
Iceland,2015,93.7
Iceland,2016,93.735
Iceland,2017,93.773
Iceland,2018,93.813
Iceland,2019,93.855
Iceland,2020,93.898
Iceland,2021,93.944
Iceland,2022,93.992
Iceland,2023,94.042
Ireland,1990,56.929
Ireland,1991,57.073
Ireland,1992,57.293
Ireland,1993,57.512
Ireland,1994,57.731
Ireland,1995,57.949
Ireland,1996,58.173
Ireland,1997,58.419
Ireland,1998,58.664
Ireland,1999,58.91
Ireland,2000,59.155
Ireland,2001,59.399
Ireland,2002,59.649
Ireland,2003,59.925
Ireland,2004,60.202
Ireland,2005,60.477
Ireland,2006,60.738
Ireland,2007,60.94
Ireland,2008,61.141
Ireland,2009,61.342
Ireland,2010,61.542
Ireland,2011,61.742
Ireland,2012,61.942
Ireland,2013,62.141
Ireland,2014,62.34
Ireland,2015,62.538
Ireland,2016,62.737
Ireland,2017,62.947
Ireland,2018,63.17
Ireland,2019,63.405
Ireland,2020,63.653
Ireland,2021,63.912
Ireland,2022,64.183
Ireland,2023,64.466
Israel,1990,90.359
Israel,1991,90.463
Israel,1992,90.565
Israel,1993,90.666
Israel,1994,90.767
Israel,1995,90.866
Israel,1996,90.943
Israel,1997,91.009
Israel,1998,91.074
Israel,1999,91.139
Israel,2000,91.203
Israel,2001,91.267
Israel,2002,91.33
Israel,2003,91.393
Israel,2004,91.456
Israel,2005,91.518
Israel,2006,91.58
Israel,2007,91.641
Israel,2008,91.702
Israel,2009,91.763
Israel,2010,91.826
Israel,2011,91.892
Israel,2012,91.96
Israel,2013,92.031
Israel,2014,92.104
Israel,2015,92.179
Israel,2016,92.256
Israel,2017,92.336
Israel,2018,92.418
Israel,2019,92.501
Israel,2020,92.587
Israel,2021,92.674
Israel,2022,92.763
Israel,2023,92.854
Italy,1990,66.726
Italy,1991,66.706
Italy,1992,66.742
Italy,1993,66.802
Italy,1994,66.862
Italy,1995,66.922
Italy,1996,66.982
Italy,1997,67.042
Italy,1998,67.102
Italy,1999,67.162
Italy,2000,67.222
Italy,2001,67.282
Italy,2002,67.382
Italy,2003,67.501
Italy,2004,67.62
Italy,2005,67.738
Italy,2006,67.856
Italy,2007,67.974
Italy,2008,68.092
Italy,2009,68.209
Italy,2010,68.327
Italy,2011,68.444
Italy,2012,68.684
Italy,2013,68.979
Italy,2014,69.272
Italy,2015,69.565
Italy,2016,69.855
Italy,2017,70.144
Italy,2018,70.438
Italy,2019,70.736
Italy,2020,71.039
Italy,2021,71.346
Italy,2022,71.657
Italy,2023,71.973
Japan,1990,77.339
Japan,1991,77.473
Japan,1992,77.61
Japan,1993,77.746
Japan,1994,77.881
Japan,1995,78.016
Japan,1996,78.145
Japan,1997,78.272
Japan,1998,78.398
Japan,1999,78.523
Japan,2000,78.649
Japan,2001,79.99
Japan,2002,81.647
Japan,2003,83.196
Japan,2004,84.64
Japan,2005,85.978
Japan,2006,87.118
Japan,2007,88.146
Japan,2008,89.103
Japan,2009,89.989
Japan,2010,90.812
Japan,2011,91.069
Japan,2012,91.148
Japan,2013,91.226
Japan,2014,91.304
Japan,2015,91.381
Japan,2016,91.457
Japan,2017,91.535
Japan,2018,91.616
Japan,2019,91.698
Japan,2020,91.782
Japan,2021,91.867
Japan,2022,91.955
Japan,2023,92.043
Korea,1990,73.844
Korea,1991,74.972
Korea,1992,75.82
Korea,1993,76.645
Korea,1994,77.452
Korea,1995,78.239
Korea,1996,78.662
Korea,1997,78.905
Korea,1998,79.145
Korea,1999,79.384
Korea,2000,79.621
Korea,2001,79.94
Korea,2002,80.299
Korea,2003,80.652
Korea,2004,81.002
Korea,2005,81.345
Korea,2006,81.528
Korea,2007,81.631
Korea,2008,81.733
Korea,2009,81.835
Korea,2010,81.936
Korea,2011,81.923
Korea,2012,81.851
Korea,2013,81.779
Korea,2014,81.707
Korea,2015,81.634
Korea,2016,81.562
Korea,2017,81.503
Korea,2018,81.459
Korea,2019,81.43
Korea,2020,81.414
Korea,2021,81.414
Korea,2022,81.427
Korea,2023,81.456
Latvia,1990,69.25
Latvia,1991,69.201
Latvia,1992,68.852
Latvia,1993,68.799
Latvia,1994,68.901
Latvia,1995,68.75
Latvia,1996,68.65
Latvia,1997,68.6
Latvia,1998,68.451
Latvia,1999,68.22
Latvia,2000,68.067
Latvia,2001,67.95
Latvia,2002,67.85
Latvia,2003,67.8
Latvia,2004,67.9
Latvia,2005,68.0
Latvia,2006,67.967
Latvia,2007,67.9
Latvia,2008,67.834
Latvia,2009,67.814
Latvia,2010,67.841
Latvia,2011,67.869
Latvia,2012,67.897
Latvia,2013,67.925
Latvia,2014,67.952
Latvia,2015,67.98
Latvia,2016,68.021
Latvia,2017,68.075
Latvia,2018,68.142
Latvia,2019,68.222
Latvia,2020,68.315
Latvia,2021,68.421
Latvia,2022,68.54
Latvia,2023,68.671
Lithuania,1990,67.583
Lithuania,1991,67.523
Lithuania,1992,67.464
Lithuania,1993,67.404
Lithuania,1994,67.345
Lithuania,1995,67.285
Lithuania,1996,67.225
Lithuania,1997,67.166
Lithuania,1998,67.106
Lithuania,1999,67.046
Lithuania,2000,66.986
Lithuania,2001,66.919
Lithuania,2002,66.828
Lithuania,2003,66.737
Lithuania,2004,66.646
Lithuania,2005,66.635
Lithuania,2006,66.706
Lithuania,2007,66.777
Lithuania,2008,66.848
Lithuania,2009,66.842
Lithuania,2010,66.757
Lithuania,2011,66.741
Lithuania,2012,66.864
Lithuania,2013,66.986
Lithuania,2014,67.108
Lithuania,2015,67.23
Lithuania,2016,67.366
Lithuania,2017,67.516
Lithuania,2018,67.679
Lithuania,2019,67.855
Lithuania,2020,68.046
Lithuania,2021,68.249
Lithuania,2022,68.465
Lithuania,2023,68.694
Luxembourg,1990,80.947
Luxembourg,1991,81.13
Luxembourg,1992,81.528
Luxembourg,1993,81.857
Luxembourg,1994,82.482
Luxembourg,1995,82.893
Luxembourg,1996,82.825
Luxembourg,1997,82.779
Luxembourg,1998,82.893
Luxembourg,1999,83.448
Luxembourg,2000,84.216
Luxembourg,2001,84.843
Luxembourg,2002,85.299
Luxembourg,2003,85.743
Luxembourg,2004,86.177
Luxembourg,2005,86.598
Luxembourg,2006,87.009
Luxembourg,2007,87.409
Luxembourg,2008,87.8
Luxembourg,2009,88.178
Luxembourg,2010,88.547
Luxembourg,2011,88.906
Luxembourg,2012,89.249
Luxembourg,2013,89.574
Luxembourg,2014,89.884
Luxembourg,2015,90.179
Luxembourg,2016,90.46
Luxembourg,2017,90.727
Luxembourg,2018,90.981
Luxembourg,2019,91.223
Luxembourg,2020,91.453
Luxembourg,2021,91.672
Luxembourg,2022,91.881
Luxembourg,2023,92.078
Mexico,1990,71.419
Mexico,1991,71.816
Mexico,1992,72.209
Mexico,1993,72.598
Mexico,1994,72.985
Mexico,1995,73.368
Mexico,1996,73.67
Mexico,1997,73.929
Mexico,1998,74.186
Mexico,1999,74.441
Mexico,2000,74.722
Mexico,2001,75.045
Mexico,2002,75.365
Mexico,2003,75.682
Mexico,2004,75.997
Mexico,2005,76.308
Mexico,2006,76.616
Mexico,2007,76.92
Mexico,2008,77.222
Mexico,2009,77.52
Mexico,2010,77.815
Mexico,2011,78.111
Mexico,2012,78.405
Mexico,2013,78.699
Mexico,2014,78.993
Mexico,2015,79.285
Mexico,2016,79.577
Mexico,2017,79.867
Mexico,2018,80.156
Mexico,2019,80.444
Mexico,2020,80.731
Mexico,2021,81.016
Mexico,2022,81.3
Mexico,2023,81.582
Netherlands,1990,68.684
Netherlands,1991,69.329
Netherlands,1992,70.223
Netherlands,1993,71.1
Netherlands,1994,71.962
Netherlands,1995,72.809
Netherlands,1996,73.64
Netherlands,1997,74.453
Netherlands,1998,75.25
Netherlands,1999,76.03
Netherlands,2000,76.795
Netherlands,2001,77.83
Netherlands,2002,79.113
Netherlands,2003,80.341
Netherlands,2004,81.514
Netherlands,2005,82.63
Netherlands,2006,83.636
Netherlands,2007,84.539
Netherlands,2008,85.402
Netherlands,2009,86.288
Netherlands,2010,87.134
Netherlands,2011,87.879
Netherlands,2012,88.588
Netherlands,2013,89.187
Netherlands,2014,89.69
Netherlands,2015,90.173
Netherlands,2016,90.635
Netherlands,2017,91.077
Netherlands,2018,91.49
Netherlands,2019,91.876
Netherlands,2020,92.236
Netherlands,2021,92.572
Netherlands,2022,92.886
Netherlands,2023,93.179
New Zealand,1990,84.742
New Zealand,1991,84.95
New Zealand,1992,85.103
New Zealand,1993,85.254
New Zealand,1994,85.404
New Zealand,1995,85.553
New Zealand,1996,85.7
New Zealand,1997,85.781
New Zealand,1998,85.861
New Zealand,1999,85.941
New Zealand,2000,86.021
New Zealand,2001,86.1
New Zealand,2002,86.161
New Zealand,2003,86.221
New Zealand,2004,86.281
New Zealand,2005,86.341
New Zealand,2006,86.4
New Zealand,2007,86.34
New Zealand,2008,86.28
New Zealand,2009,86.22
New Zealand,2010,86.16
New Zealand,2011,86.1
New Zealand,2012,86.161
New Zealand,2013,86.221
New Zealand,2014,86.281
New Zealand,2015,86.341
New Zealand,2016,86.4
New Zealand,2017,86.466
New Zealand,2018,86.538
New Zealand,2019,86.615
New Zealand,2020,86.699
New Zealand,2021,86.789
New Zealand,2022,86.884
New Zealand,2023,86.985
Norway,1990,71.956
Norway,1991,72.265
Norway,1992,72.665
Norway,1993,73.061
Norway,1994,73.453
Norway,1995,73.787
Norway,1996,74.062
Norway,1997,74.476
Norway,1998,75.027
Norway,1999,75.569
Norway,2000,76.02
Norway,2001,76.378
Norway,2002,76.733
Norway,2003,77.084
Norway,2004,77.399
Norway,2005,77.675
Norway,2006,77.95
Norway,2007,78.234
Norway,2008,78.526
Norway,2009,78.815
Norway,2010,79.102
Norway,2011,79.455
Norway,2012,79.874
Norway,2013,80.286
Norway,2014,80.692
Norway,2015,81.091
Norway,2016,81.485
Norway,2017,81.871
Norway,2018,82.248
Norway,2019,82.616
Norway,2020,82.974
Norway,2021,83.323
Norway,2022,83.664
Norway,2023,83.995
Poland,1990,61.27
Poland,1991,61.315
Poland,1992,61.359
Poland,1993,61.404
Poland,1994,61.449
Poland,1995,61.493
Poland,1996,61.538
Poland,1997,61.583
Poland,1998,61.627
Poland,1999,61.672
Poland,2000,61.716
Poland,2001,61.761
Poland,2002,61.787
Poland,2003,61.676
Poland,2004,61.564
Poland,2005,61.452
Poland,2006,61.341
Poland,2007,61.229
Poland,2008,61.116
Poland,2009,61.004
Poland,2010,60.892
Poland,2011,60.78
Poland,2012,60.654
Poland,2013,60.529
Poland,2014,60.403
Poland,2015,60.278
Poland,2016,60.178
Poland,2017,60.105
Poland,2018,60.058
Poland,2019,60.037
Poland,2020,60.043
Poland,2021,60.075
Poland,2022,60.134
Poland,2023,60.218
Portugal,1990,47.915
Portugal,1991,48.469
Portugal,1992,49.13
Portugal,1993,49.789
Portugal,1994,50.449
Portugal,1995,51.109
Portugal,1996,51.77
Portugal,1997,52.428
Portugal,1998,53.086
Portugal,1999,53.743
Portugal,2000,54.399
Portugal,2001,55.044
Portugal,2002,55.666
Portugal,2003,56.287
Portugal,2004,56.907
Portugal,2005,57.522
Portugal,2006,58.137
Portugal,2007,58.749
Portugal,2008,59.359
Portugal,2009,59.964
Portugal,2010,60.567
Portugal,2011,61.167
Portugal,2012,61.763
Portugal,2013,62.352
Portugal,2014,62.936
Portugal,2015,63.514
Portugal,2016,64.086
Portugal,2017,64.652
Portugal,2018,65.211
Portugal,2019,65.764
Portugal,2020,66.31
Portugal,2021,66.849
Portugal,2022,67.381
Portugal,2023,67.906
Slovak Republic,1990,56.491
Slovak Republic,1991,56.78
Slovak Republic,1992,56.719
Slovak Republic,1993,56.659
Slovak Republic,1994,56.598
Slovak Republic,1995,56.537
Slovak Republic,1996,56.476
Slovak Republic,1997,56.416
Slovak Republic,1998,56.355
Slovak Republic,1999,56.294
Slovak Republic,2000,56.233
Slovak Republic,2001,56.163
Slovak Republic,2002,56.013
Slovak Republic,2003,55.863
Slovak Republic,2004,55.713
Slovak Republic,2005,55.563
Slovak Republic,2006,55.412
Slovak Republic,2007,55.261
Slovak Republic,2008,55.111
Slovak Republic,2009,54.96
Slovak Republic,2010,54.685
Slovak Republic,2011,54.42
Slovak Republic,2012,54.28
Slovak Republic,2013,54.14
Slovak Republic,2014,54.0
Slovak Republic,2015,53.889
Slovak Republic,2016,53.806
Slovak Republic,2017,53.751
Slovak Republic,2018,53.726
Slovak Republic,2019,53.729
Slovak Republic,2020,53.76
Slovak Republic,2021,53.82
Slovak Republic,2022,53.909
Slovak Republic,2023,54.027
Slovenia,1990,50.39
Slovenia,1991,50.517
Slovenia,1992,50.543
Slovenia,1993,50.569
Slovenia,1994,50.596
Slovenia,1995,50.622
Slovenia,1996,50.649
Slovenia,1997,50.675
Slovenia,1998,50.701
Slovenia,1999,50.728
Slovenia,2000,50.754
Slovenia,2001,50.78
Slovenia,2002,50.857
Slovenia,2003,51.082
Slovenia,2004,51.308
Slovenia,2005,51.533
Slovenia,2006,51.758
Slovenia,2007,51.983
Slovenia,2008,52.209
Slovenia,2009,52.433
Slovenia,2010,52.658
Slovenia,2011,52.883
Slovenia,2012,53.108
Slovenia,2013,53.332
Slovenia,2014,53.557
Slovenia,2015,53.781
Slovenia,2016,54.02
Slovenia,2017,54.273
Slovenia,2018,54.541
Slovenia,2019,54.822
Slovenia,2020,55.118
Slovenia,2021,55.427
Slovenia,2022,55.751
Slovenia,2023,56.088
Spain,1990,75.351
Spain,1991,75.528
Spain,1992,75.61
Spain,1993,75.692
Spain,1994,75.774
Spain,1995,75.856
Spain,1996,75.938
Spain,1997,76.019
Spain,1998,76.1
Spain,1999,76.181
Spain,2000,76.262
Spain,2001,76.343
Spain,2002,76.533
Spain,2003,76.778
Spain,2004,77.022
Spain,2005,77.263
Spain,2006,77.502
Spain,2007,77.74
Spain,2008,77.976
Spain,2009,78.21
Spain,2010,78.442
Spain,2011,78.673
Spain,2012,78.902
Spain,2013,79.133
Spain,2014,79.366
Spain,2015,79.602
Spain,2016,79.84
Spain,2017,80.08
Spain,2018,80.321
Spain,2019,80.565
Spain,2020,80.81
Spain,2021,81.056
Spain,2022,81.304
Spain,2023,81.552
Sweden,1990,83.1
Sweden,1991,83.204
Sweden,1992,83.361
Sweden,1993,83.516
Sweden,1994,83.671
Sweden,1995,83.824
Sweden,1996,83.914
Sweden,1997,83.942
Sweden,1998,83.97
Sweden,1999,83.998
Sweden,2000,84.026
Sweden,2001,84.071
Sweden,2002,84.133
Sweden,2003,84.196
Sweden,2004,84.258
Sweden,2005,84.319
Sweden,2006,84.43
Sweden,2007,84.588
Sweden,2008,84.746
Sweden,2009,84.902
Sweden,2010,85.056
Sweden,2011,85.297
Sweden,2012,85.62
Sweden,2013,85.936
Sweden,2014,86.247
Sweden,2015,86.553
Sweden,2016,86.852
Sweden,2017,87.146
Sweden,2018,87.431
Sweden,2019,87.708
Sweden,2020,87.977
Sweden,2021,88.238
Sweden,2022,88.492
Sweden,2023,88.738
Switzerland,1990,73.926
Switzerland,1991,73.869
Switzerland,1992,73.815
Switzerland,1993,73.762
Switzerland,1994,73.708
Switzerland,1995,73.654
Switzerland,1996,73.6
Switzerland,1997,73.546
Switzerland,1998,73.492
Switzerland,1999,73.438
Switzerland,2000,73.383
Switzerland,2001,73.375
Switzerland,2002,73.401
Switzerland,2003,73.427
Switzerland,2004,73.452
Switzerland,2005,73.478
Switzerland,2006,73.504
Switzerland,2007,73.53
Switzerland,2008,73.556
Switzerland,2009,73.581
Switzerland,2010,73.607
Switzerland,2011,73.631
